   object_type    | table_schema |            table_name            |                           column_name                           |          data_type          |      udt_name      |                                                                                                                                                column_default                                                                                                                                                 | is_nullable |  key_type   |                               references                               | unique_constraint |                          column_comment                          | table_comment | character_maximum_length | numeric_precision | ordinal_position 
 CHECK_CONSTRAINT | public       | leave                            | check_leave_dates                                               | check                       |                    | ((end_date >= start_date))                                                                                                                                                                                                                                                                                    |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | leave                            | leave_leave_type_check                                          | check                       |                    | (((leave_type)::text = ANY (ARRAY[('Annual'::character varying)::text, ('Sick'::character varying)::text, ('Unpaid'::character varying)::text, ('Other'::character varying)::text])))                                                                                                                         |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | notes                            | 278616_278763_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | notes                            | 278616_278763_2_not_null                                        | check                       |                    | entity_type IS NOT NULL                                                                                                                                                                                                                                                                                       |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | notes                            | 278616_278763_3_not_null                                        | check                       |                    | entity_id IS NOT NULL                                                                                                                                                                                                                                                                                         |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | notes                            | 278616_278763_5_not_null                                        | check                       |                    | content IS NOT NULL                                                                                                                                                                                                                                                                                           |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | notes                            | notes_entity_type_check                                         | check                       |                    | ((entity_type = ANY (ARRAY['payroll'::text, 'client'::text])))                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payroll_cycles                   | 278616_278773_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payroll_cycles                   | 278616_278773_2_not_null                                        | check                       |                    | name IS NOT NULL                                                                                                                                                                                                                                                                                              |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payroll_date_types               | 278616_278781_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payroll_date_types               | 278616_278781_2_not_null                                        | check                       |                    | name IS NOT NULL                                                                                                                                                                                                                                                                                              |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payroll_dates                    | 278616_278678_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payroll_dates                    | 278616_278678_2_not_null                                        | check                       |                    | payroll_id IS NOT NULL                                                                                                                                                                                                                                                                                        |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payroll_dates                    | 278616_278678_3_not_null                                        | check                       |                    | original_eft_date IS NOT NULL                                                                                                                                                                                                                                                                                 |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payroll_dates                    | 278616_278678_4_not_null                                        | check                       |                    | adjusted_eft_date IS NOT NULL                                                                                                                                                                                                                                                                                 |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payroll_dates                    | 278616_278678_5_not_null                                        | check                       |                    | processing_date IS NOT NULL                                                                                                                                                                                                                                                                                   |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payroll_dates                    | check_payroll_dates_order                                       | check                       |                    | ((adjusted_eft_date >= processing_date))                                                                                                                                                                                                                                                                      |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payrolls                         | 278616_278789_10_not_null                                       | check                       |                    | processing_days_before_eft IS NOT NULL                                                                                                                                                                                                                                                                        |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payrolls                         | 278616_278789_14_not_null                                       | check                       |                    | status IS NOT NULL                                                                                                                                                                                                                                                                                            |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payrolls                         | 278616_278789_15_not_null                                       | check                       |                    | processing_time IS NOT NULL                                                                                                                                                                                                                                                                                   |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payrolls                         | 278616_278789_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payrolls                         | 278616_278789_2_not_null                                        | check                       |                    | client_id IS NOT NULL                                                                                                                                                                                                                                                                                         |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payrolls                         | 278616_278789_3_not_null                                        | check                       |                    | name IS NOT NULL                                                                                                                                                                                                                                                                                              |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payrolls                         | 278616_278789_4_not_null                                        | check                       |                    | cycle_id IS NOT NULL                                                                                                                                                                                                                                                                                          |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payrolls                         | 278616_278789_5_not_null                                        | check                       |                    | date_type_id IS NOT NULL                                                                                                                                                                                                                                                                                      |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | payrolls                         | check_positive_values                                           | check                       |                    | (((processing_days_before_eft >= 0) AND (processing_time >= 0) AND ((employee_count IS NULL) OR (employee_count >= 0))))                                                                                                                                                                                      |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | permission_audit_log             | 278616_279030_1_not_null                                        | check                       |                    | id IS NOT NULL                                                                                                                                                                                                                                                                                                |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
 CHECK_CONSTRAINT | public       | permission_audit_log             | 278616_279030_5_not_null                                        | check                       |                    | resource IS NOT NULL                                                                                                                                                                                                                                                                                          |             |             |                                                                        |                   |                                                                  |               |                          |                   |                 
